Small, 109, 20, 11, 13, 18
Small, 191, 4, 22, 25, 5
Small, 44, 15, 16, 14, 3
Small, 223, 18, 9, 10, 11
Small, 514, 10, 17, 9, 21
Small, 543, 16, 9, 6, 8
Small, 220, 6, 22, 4, 24
Small, 706, 12, 23, 4, 23
Small, 29, 21, 3, 12, 16
Small, 434, 24, 16, 20, 18
Small, 811, 19, 13, 22, 18
Small, 516, 19, 5, 18, 5
Small, 42, 24, 4, 4, 19
Small, 523, 25, 16, 22, 15
Small, 469, 22, 16, 3, 4
Small, 445, 19, 23, 17, 1
Small, 629, 12, 5, 20, 4
Small, 433, 17, 24, 12, 5
Small, 333, 14, 12, 11, 18
Small, 775, 15, 17, 10, 2
Small, 509, 10, 2, 25, 12
Small, 67, 16, 20, 15, 17
Small, 226, 14, 23, 6, 5
Small, 618, 8, 15, 20, 2
Small, 707, 20, 5, 25, 10
Small, 10, 5, 14, 4, 2
Small, 936, 15, 25, 24, 2
Small, 916, 9, 14, 23, 5
Small, 246, 4, 21, 16, 21
Small, 372, 15, 17, 11, 23
Small, 880, 24, 4, 6, 10
Small, 750, 3, 9, 18, 23
Small, 268, 14, 7, 11, 19
Small, 276, 2, 17, 2, 1
Small, 495, 15, 22, 3, 10
Small, 918, 7, 21, 10, 12
Small, 665, 7, 11, 12, 14
Small, 550, 19, 21, 8, 8
Small, 818, 13, 10, 21, 19
Small, 348, 16, 10, 3, 23
Medium, 45844, 12, 6, 17, 11
Medium, 46541, 23, 11, 3, 10
Medium, 26581, 1, 3, 6, 3
Medium, 16254, 13, 18, 20, 18
Medium, 58218, 1, 19, 22, 25
Medium, 16373, 20, 8, 4, 15
Medium, 17357, 13, 9, 3, 15
Medium, 81187, 2, 5, 22, 22
Medium, 84417, 24, 16, 11, 20
Medium, 47883, 18, 17, 12, 16
Medium, 71724, 2, 12, 9, 2
Medium, 94245, 20, 8, 19, 9
Medium, 34349, 24, 21, 6, 3
Medium, 49782, 23, 5, 17, 3
Medium, 52391, 12, 23, 4, 11
Medium, 63386, 15, 11, 7, 23
Medium, 67745, 13, 8, 9, 20
Medium, 13246, 16, 22, 19, 17
Medium, 42708, 2, 17, 4, 14
Medium, 45630, 22, 11, 24, 20
Medium, 74647, 6, 21, 24, 5
Medium, 24847, 18, 10, 4, 10
Medium, 65664, 5, 7, 4, 6
Medium, 11265, 4, 11, 5, 14
Medium, 85707, 16, 21, 15, 3
Medium, 83719, 17, 19, 17, 19
Medium, 47778, 9, 9, 5, 20
Medium, 48814, 22, 22, 12, 5
Medium, 24327, 15, 15, 19, 15
Medium, 37790, 2, 9, 18, 14
Medium, 83482, 22, 22, 3, 10
Medium, 35901, 18, 20, 21, 8
Medium, 62657, 16, 19, 15, 21
Medium, 69525, 15, 25, 4, 1
Medium, 58084, 24, 18, 18, 22
Medium, 89119, 15, 19, 9, 24
Medium, 35087, 19, 18, 25, 16
Medium, 47196, 23, 19, 2, 13
Medium, 96244, 12, 16, 1, 11
Medium, 59295, 24, 19, 6, 15
Large, 3330247, 6, 22, 15, 10
Large, 5378023, 14, 25, 15, 8
Large, 5240760, 9, 12, 14, 25
Large, 5885746, 9, 9, 1, 18
Large, 4858268, 7, 4, 5, 2
Large, 4441425, 4, 5, 5, 21
Large, 7524102, 6, 22, 23, 6
Large, 8610826, 2, 17, 15, 19
Large, 5661049, 6, 17, 14, 12
Large, 3557398, 15, 15, 8, 25
Large, 1440610, 14, 15, 15, 22
Large, 3491790, 14, 14, 9, 13
Large, 3372227, 19, 19, 21, 10
Large, 3291566, 20, 12, 4, 20
Large, 2921346, 16, 6, 21, 7
Large, 2769070, 11, 17, 6, 11
Large, 6640997, 16, 20, 14, 23
Large, 3260979, 9, 18, 6, 15
Large, 2764623, 17, 18, 14, 13
Large, 8618632, 19, 7, 8, 3
Large, 6568384, 9, 3, 18, 17
Large, 8268640, 20, 6, 14, 20
Large, 5133419, 9, 17, 13, 11
Large, 9201711, 7, 23, 11, 17
Large, 9891363, 12, 22, 6, 15
Large, 7375991, 24, 13, 3, 21
Large, 7701859, 16, 9, 9, 10
Large, 7370548, 21, 20, 10, 21
Large, 7169193, 17, 25, 23, 12
Large, 1910509, 20, 14, 12, 20
Large, 2864002, 1, 12, 5, 24
Large, 4318514, 3, 6, 11, 4
Large, 6617186, 10, 14, 22, 22
Large, 6151125, 13, 17, 2, 22
Large, 7786844, 16, 7, 12, 19
Large, 9952134, 6, 15, 7, 20
Large, 7044517, 20, 21, 13, 12
Large, 3326224, 20, 20, 14, 12
Large, 9717338, 5, 5, 14, 23
Large, 4041579, 11, 11, 23, 25
